Enabled,abilitato
Enter Google Api Key,Inserisci Google Api chiave
Language you want to translate your website to,Lingua che si desidera tradurre il vostro sito web per
Translate from,Traduci
Translate Fields,tradurre campi
Translate Configuration,tradurre Configurazione
Translator,Traduttore
Yes,Si
No,No
Select Yes to enable this feature.,Selezionare Si per attivare questa funzione.
Enter google api key to translate data.,Inserisci Google API key per tradurre i dati.
Choose language which you want to translate your website,Scegli la lingua che si desidera tradurre il tuo sito web
Product attributes wich will translated on mass translate.,Attributi di prodotto Quale sarà tradotto in massa tradurre.
